id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
e1_00022,e1.bin,2066,5336,3270,<FFFF><5200><FFFF><FFFF>`<FFFF><FFFF>`<FFFF><FFFF><FFFF><FFFF><FFFF><FFFF><FFFF> <FFFF><D012> <D810> <F810> <E010> <F810> <E810> <F810> <F010> <F810> <D80C>  <0A08>` <F810>  <FFFF><FF00>                                                                                                                                                                                                   <FFFF> <FFFF><FFFF><0301>`e<0380>  <FFFF><FFFF>  <FF00>   <1601> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0280>  <2800> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0580>  <8900> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`b<0380>  <1801> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`c<0480>  <2900> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`b<0680>  <2A00> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0580>  <1901> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0580>  <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0301>`e<0380>  <FFFF><FFFF>  <FF00>   <1601> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0280>  <2800> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0580>  <8900> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`b<0380>  <1801> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`c<0480>  <2900> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`b<0680>  <2A00> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0580>  <1901> <FFFF><FFFF>  <FF00>   <FFFF><FFFF><0301>`d<0580>  <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>    <FFFF><FF00>     <FF00> <FF00> <FF00> <FF00> <FF00> <FF00> <FF00> <FF00><FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>      <FFFF><FFFF>        ,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00023,e1.bin,5636,6576,940,                                                                                                                                                                                                                                                                                                                                                                                          <FF26><5700><6011> <FF60> <FF55> <8011> <FF67><0001><FF55> <F011> <FF54> <4011> <FF68> <FF55> <6012> <FF61> <FF2C>`<090B> <FF21>   <FF68> <FF61> <FF24><5700><FF4B> <FF25><5700><FF2C>`<090B> <FF21> <FF60> <FF55> <6012> <FF61> <FF25><5700><FF2C>`<090B> <FF21> <FF1B>Agastya Tree<FF03>Young ones,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00024,e1.bin,6582,6854,272," Your presence is welcome!<FF02><FF01> <FF1B>Agastya Tree<FF03>Will you inscribe your story on me?<FF02><FF0E> <FF01>   <FF1B>Agastya Tree<FF03>Take care on your journey, young ones",,,pendiente
e1_00025,e1.bin,6860,11172,4312,<FF02><FF01><0300> <8011> <F011> <6012>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <FFFF>`<FFFF><FFFF><FFFF><2F00><FFFF><FFFF><FFFF><FFFF><1F00><FFFF><FFFF>`<FFFF><FFFF><FFFF><FFFF><FFFF>`<FFFF><FFFF><FFFF><FFFF>`<FFFF><F244> <D810> <F810> <E010> <F810> <E810> <F810> <F010> <F810> <D80C> <0300><160F>` <C01D>  <FFFF><005D>e<0704> <4811> <6811> <8811> <F015> <1818> <4818>   <5818>                                                 <681D> <701D> <781D> <801D> <881D> <901D> <B01D> <B81D>                                                                                                                 <FFFF> <FFFF><FFFF><0001> <0804><0980>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0001> <0806><0880>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0001> <0803><0780>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><0201><0200>n<0880>  <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF>  <FF00>   <FFFF><FFFF>  <FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF><FF00>   <FFFF><FFFF><FF00>   <FFFF> <FFFF><FFFF>,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00026,e1.bin,14404,15658,1254, <F001><A013> <0300> <FEFF><FFFF>  <E81C> <0800> <081D> <0800><0080>  <FFFF> <E81C> <0800><0080>  <FEFF> <081D> <0800><0080>  <FDFF> <E81C> <0800><0080>  <FCFF> <081D> <0800><0080>  <FBFF> <E81C> <0800><0080>  <FAFF> <081D> <0800><0080>  <F9FF> <E81C> <0800><0080>  <F8FF> <081D> <0800><0080>  <F7FF> <E81C> <0800><0080>  <F6FF> <081D> <0800><0080>  <F5FF> <E81C> <0800><0080>  <F4FF> <081D> <0800><0080>  <F3FF> <E81C> <0800><0080>  <F2FF> <081D> <0800><0080>  <F3FF> <E81C> <0800><0080>  <F4FF> <081D> <0800><0080>  <F5FF> <E81C> <0800><0080>  <F6FF> <081D> <0800><0080>  <F7FF> <E81C> <0800><0080>  <F8FF> <081D> <0800><0080>  <F7FF> <E81C> <0800><0080>  <F6FF> <081D> <0800><0080>  <F5FF> <E81C> <0800><0080>  <F6FF> <081D> <0800><0080>  <F7FF> <E81C> <0800><0080>  <F8FF> <081D> <0800><0080>  <F9FF> <E81C> <0800><0080>  <FAFF> <081D> <0800><0080>  <FBFF> <E81C> <0800><0080>  <FCFF> <081D> <0800><0080>  <FDFF> <E81C> <0800><0080>  <FEFF> <081D> <0800><0080>  <FFFF> <E81C> <0800> <081D> <0800><0080>  ` <E81C> <0800><0080>  <0200> <081D> <0800><0080>  <0300> <E81C> <0800><0080>  <0400> <081D> <0800><0080>  <0500> <E81C> <0800><0080>  <0600> <081D> <0800><0080>  <0700> <E81C> <0800><0080>  <0800> <081D> <0800><0080>  <0900> <E81C> <0800><0080>  <0A00> <081D> <0800><0080>  <0900> <E81C> <0800><0080>  <0800> <081D> <0800><0080>  <0700> <E81C> <0800><0080>  <0600> <081D> <0800><0080>  <0500> <E81C> <0800><0080>  <0400> <081D> <0800><0080>  <0300> <E81C> <0800><0080>  <0200> <081D> <0800><0080>  ` <E81C> <0800> <081D> <0800><0080>  ` <E81C> <0800><0080>  <0200> <081D> <0800><0080>  <0300> <E81C> <0800><0080>  <0400> <081D> <0800><0080>  <0500> <E81C> <0800><0080>  <0600> <081D> <0800><0080>  <0700> <E81C> <0800><0080>  <0800> <081D> <0800><0080>  <0900> <E81C> <0800><0080>  <0A00> <081D> <0800><0080>  <0900> <E81C> <0800><0080>  <0800> <081D> <0800><0080>  <0700> <E81C> <0800><0080>  <0600> <081D> <0800><0080>  <0500> <E81C> <0800><0080>  <0400> <081D> <0800><0080>  <0300> <E81C> <0800><0080>  <0200> <081D> <0800><0080>  ` <FDFF><FFFF><5818> <281D> <F4FF><C0FF>  <381D> <F4FF><C0FF>  <FFFF><FFFF>  <481D> <F5FF><C4FF>  <581D> <F5FF><C4FF>  <FFFF><FFFF>  a,,baja densidad de texto (posible mezcla con datos),revisar
e1_00027,e1.bin,15988,16044,56,<FF4D><5A00><FF60> <FF67><0500><FF55> <7824> <FF68> <FF61> <FF66>`<FF64>e<0608> <2100><8000><FF4D><0F00><FF66>`<FF64>a,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00028,e1.bin,16052,16288,236,"<FF4D><3C00><FF69>a<FF4D><1E00><FF7A>`<FF7C>f<0802> <FF4D><3C00><FF7C>f<0801> <FF4D><3C00><FF7C>f<0802> <FF4D><0F00><FF60> <FF67><0402><FF55> <D824> <FF68> <FF61> <FF7C><0203><0703> <FF4D><1E00><FF69><0200><FF4D><3C00><FF7A><0200><FF60> <FF67><0502><FF55> <6825> <FF68> <FF61> <FF7C>f<0801> <FF4D><0600><FF7C>!<0903> <FF7C>f<0803> <FF4D><1E00><FF69> <FF69>`<FF4D><3C00><FF7A> <FF7A>`<FF60> <FF67><0402><FF55> <9025> <FF68> <FF61> <FF78><0300><FF4D><1E00><FF6E>`,`<FF7B> <FF81><4700><FF6C><1100><FF81><2D00><FF64>c",,carácter repetido dominante (probable relleno gráfico),revisar
e1_00029,e1.bin,16320,16638,318,"<FF4D><0600><FF81><4700><FF6C><1000><FF4D><0200><FF81><3A00><FF65><1182><0D06>`<8000> <FF4D><2400><FF81><4700><FF6C><1000><FF4D><0200><FF81><3A00><FF65><1282><0D0A>`<8000> <FF4D><2400><FF81><4700><FF6C><1000><FF4D><0200><FF81><3A00><FF65><1382><0F06>`<8000> <FF4D><2400><FF81><4700><FF6C><1000><FF4D><0200><FF81><3A00><FF65><1482><0F0A>`<8000> <FF4D><2400><FF60> <FF67><0402><FF55> <B825> <FF68> <FF67><1202><FF55> <E825> <FF68> <FF61> <FF78>`<FF6E><0002>c`<FF7B> <FF6E><0203>c`<FF7B> <FF60> <FF67><0402><FF55> <6026> <FF68> <FF67><1202><FF55> <9026> <FF68> <FF67><0402><FF55> <3827> <FF68> <FF67><1202><FF55> <0828> <FF68> <FF67><0402><FF55> <F029> <FF68> <FF67><1202><FF55> <A82A> <FF68> <FF61> <FF6E><0204>, <FF7B> <FF64>",,carácter repetido dominante (probable relleno gráfico),revisar
e1_00030,e1.bin,17080,17550,470,<FF4D><0F00><FF69> <FF69>`<FF69><0200><FF4D><1E00><FF7A> <FF7A>`<FF7A><0200><FF60> <FF67><0400><FF55> <203B> <FF68> <FF55> <583B> <FF67><0400><FF55> <683D> <FF68> <FF55> <903D> <FF67><0500><FF55> <1841> <FF68> <FF61> <FF7C><020B><0701> <FF4D><0600><FF7C><020B><0702> <FF60> <FF67><0501><FF55> <B841> <FF68> <FF67><0400><FF55> <1843> <FF68> <FF67><0502><FF55> <1044> <FF68> <FF61> <FF4D><3C00><FF81><3B00><FF6C><1000><FF81><3B00><FF6C><1000><FF4D><1E00><FF69><0001><FF69>a<FF69><0201><FF4D><1E00><FF7A> <FF7A>`<FF7A><0200><FF4D><3C00><FF81><3B00><FF6C><1000><FF81><3B00><FF6C><1000><FF4D><1E00><FF69><0200><FF4D><1E00><FF7A><0200><FF60> <FF67><0502><FF55> <4044> <FF68> <FF61> <FF7C><0007><0901> <FF4D><0600><FF7C><0007><0902> <FF7C>i<0800> <FF4D><0600><FF7C>i<0802> <FF64><0501>h<0200><0001> <FF78><0500><FF81><3E00><FF6C><0F00><FF65><1787>h`<8000> <FF6C><0A00><FF4D><3C00><FF78> <FF60> <FF67><0402><FF55> <8044> <FF68> <FF67><0502><FF55> <C044> <FF68> <FF61> <FF6C><0E00><FF6C><0B00><FF4D><3C00><FF6C><0E00><FF6C><0B00><FF2D><1600>  <FF1B>Ayase<FF03>Owww,,carácter repetido dominante (probable relleno gráfico),revisar
e1_00031,e1.bin,17556,17588,32,<FF02><FF04><FF1B>Ayase<FF03>Huh? Uh,,,pendiente
e1_00032,e1.bin,17594,17646,52, where am I?<FF02><FF01> <FF1B>Yukino<FF03>Hey,,,pendiente
e1_00033,e1.bin,17652,17880,228, This is the courtyard. What the<FF03>hell's going on here.?<FF02><FF01> <FF1B>Ayase<FF03>Whoa. Look.<FF02><FF01><FF1B>Yukino<FF03>Ms! Saeko.<FF02><FF01><FF1B>Yukino<FF03>What the,,,pendiente
e1_00034,e1.bin,17888,17930,42,<FF02><FF01>  <FF1B>Ms! Saeko<FF03>Hahaha,,,pendiente
e1_00035,e1.bin,17936,18050,114, Finally. I've been waiting<FF03>so long.<FF02><FF01>  <FF1B>Yukino<FF03>Ms! Saeko,,,pendiente
e1_00036,e1.bin,18058,18104,46,<FF02><FF01> <FF1B>Ms! Saeko<FF03>Saeko? Oh,,,pendiente
e1_00037,e1.bin,18110,18204,94, I see what's happening!<FF02><FF04><FF1B>Ms! Saeko<FF03>Poor Saeko,,,pendiente
e1_00038,e1.bin,18210,18474,264, Hahahah!<FF02><FF01><FF1B>Yukino<FF03>Huh? But you are Saeko.<FF02><FF04><FF1B>Yukino<FF03>Are you okay.? Did you trip and hit<FF03>your head or something?<FF02><FF01>  <FF1B>Ms! Saeko<FF03>Hahaha,,,pendiente
e1_00039,e1.bin,18480,18586,106," <0028>I wore it, and I'm okay,<0028> eh?<FF02><FF04><FF1B>Ms! Saeko<FF03>Teeheehee",,,pendiente
e1_00040,e1.bin,18592,18738,146, Ahahaha. That's the Saeko<FF03>I remember so well!<FF02><FF04><FF1B>Ms! Saeko<FF03>Self-confident,,,pendiente
e1_00041,e1.bin,18744,18772,28, self-centered,,,pendiente
e1_00042,e1.bin,18778,19218,440,"<FF02><FF04><FF1B>Ms! Saeko<FF03>She'd step on anyone to get to be the<FF03>center of attention!<FF02><FF01>  <FF1B>Yukino<FF03>What's wrong with you.?<FF02><FF04><FF1B>Yukino<FF03>Stop with the jokes, 'cause they<FF03>aren't funny.<FF02><FF01>   <FF1B>Ms! Saeko<FF03>Jokes?<FF02><FF04><FF1B>Ms! Saeko<FF03>Look around you! Hahaha",,,pendiente
e1_00043,e1.bin,19224,19614,390," you think<FF03>this is a joke?<FF02><FF04><FF1B>Ms! Saeko<FF03>Beautiful, isn't it? A peaceful,<FF03>perfectly still landscape!<FF02><FF04><FF1B>Ms! Saeko<FF03>You'll all be dressed in ice and stay<FF03>beautiful forever!<FF02><FF04><FF1B>Ms! Saeko<FF03>So come on over",,,pendiente
e1_00044,e1.bin,19620,19762,142,<FF02><FF01><FF1B>Ayase<FF03>What are you saying.?<FF02><FF04><FF1B>Ayase<FF03>You're our teacher. This is just,,,pendiente
e1_00045,e1.bin,19768,19882,114,"<FF02><FF01>  <FF1B>Ms! Saeko<FF03>Oh, what a lovely girl!<FF02><FF04><FF1B>Ms! Saeko<FF03>Hahaha",,,pendiente
e1_00046,e1.bin,19888,20098,210," Come closer, girl, and I'll<FF03>give you ageless beauty!<FF02><FF01> <FF1B>Yukino<FF03>Don't do it, Yuka.<FF02><FF04><FF1B>Yukino<FF03>It's the mask",,,pendiente
e1_00047,e1.bin,20104,20670,566," It must have taken<FF03>her over.<FF02><FF04><FF1B>Yukino<FF03>Okay, monster, you lay one finger on<FF03>Ms! Saeko and your ass is grass.<FF02><FF01>  <FF1B>Mask<FF03><0028>Taken her over<0028>? That's not very nice!<FF02><FF04><FF1B>Mask<FF03>Tell me, who was it who undid the seal<FF03>on the mask?<FF02><FF04><FF1B>Mask<FF03>Who put it on without thinking twice?<FF02><FF04><FF1B>Mask<FF03>Not to mention",,,pendiente
